id,age_cat,c_charge_degree,race,sex,priors_count,two_year_recid
4147,Greater than 45,M,Caucasian,Female,2,0
4148,Less than 25,F,Caucasian,Male,5,1
4149,Greater than 45,M,African-American,Male,1,0
4150,25 - 45,M,African-American,Male,8,1
4151,Greater than 45,M,African-American,Male,2,0
4152,25 - 45,F,Caucasian,Male,0,0
4153,25 - 45,M,Hispanic,Female,0,0
4154,25 - 45,M,African-American,Male,2,1
4155,Less than 25,F,African-American,Male,4,1
4156,25 - 45,M,Hispanic,Male,0,0
4157,Less than 25,F,African-American,Female,0,0
4158,25 - 45,F,African-American,Male,6,0
4159,Less than 25,F,African-American,Male,0,1
4160,25 - 45,M,African-American,Male,1,0
4161,25 - 45,F,African-American,Male,2,0
4162,Greater than 45,M,Caucasian,Male,3,0
4163,25 - 45,F,African-American,Male,7,1
4164,Less than 25,F,African-American,Male,6,1
4165,25 - 45,M,Caucasian,Male,2,0
4166,25 - 45,F,Caucasian,Male,4,0
4167,25 - 45,F,African-American,Male,3,0
4168,25 - 45,F,Hispanic,Female,2,0
4169,25 - 45,F,Caucasian,Male,0,0
4170,25 - 45,F,African-American,Male,1,0
4171,Less than 25,F,African-American,Male,0,0
4172,25 - 45,M,African-American,Male,0,0
4173,25 - 45,F,Other,Male,1,0
4174,25 - 45,F,African-American,Male,14,1
4175,25 - 45,F,African-American,Male,0,0
4176,Greater than 45,F,African-American,Male,0,0
4177,25 - 45,F,African-American,Male,6,1
4178,25 - 45,F,African-American,Male,9,1
4179,Less than 25,F,African-American,Female,2,0
4180,Greater than 45,M,Caucasian,Male,1,0
4181,Greater than 45,F,Caucasian,Male,4,0
4182,25 - 45,M,African-American,Female,0,0
4183,Less than 25,M,Caucasian,Female,0,0
4184,25 - 45,F,African-American,Female,5,0
4185,25 - 45,F,Hispanic,Male,1,0
4186,25 - 45,M,African-American,Male,6,1
4187,25 - 45,F,African-American,Male,1,0
4188,Greater than 45,F,Hispanic,Male,0,0
4189,Greater than 45,F,Caucasian,Male,1,1
4190,Greater than 45,M,African-American,Male,5,0
4191,Greater than 45,M,Caucasian,Male,1,0
4192,25 - 45,F,Other,Male,1,1
4193,Less than 25,F,Hispanic,Male,2,1
4194,25 - 45,F,African-American,Male,7,1
4195,25 - 45,F,African-American,Male,16,1
4196,25 - 45,M,Caucasian,Female,0,0
4197,25 - 45,M,Caucasian,Female,2,0
4198,25 - 45,F,African-American,Female,1,0
4199,25 - 45,M,Caucasian,Male,0,0
4200,25 - 45,M,African-American,Male,0,0
4201,25 - 45,F,Caucasian,Male,5,0
4202,25 - 45,F,African-American,Male,0,0
4203,25 - 45,F,African-American,Male,2,0
4204,25 - 45,F,African-American,Male,12,1
4205,25 - 45,F,Asian,Male,1,0
4206,25 - 45,F,Caucasian,Male,2,0
4207,25 - 45,F,African-American,Male,0,0
4208,25 - 45,F,African-American,Male,19,0
4209,25 - 45,F,Caucasian,Female,0,0
4210,25 - 45,F,Caucasian,Male,0,0
4211,Greater than 45,F,Caucasian,Male,0,0
4212,25 - 45,F,Caucasian,Male,4,0
4213,25 - 45,F,African-American,Male,4,1
4214,25 - 45,M,Caucasian,Male,12,1
4215,Greater than 45,F,Caucasian,Female,0,0
4216,Less than 25,F,African-American,Female,4,1
4217,25 - 45,F,Caucasian,Male,2,1
4218,25 - 45,M,African-American,Female,1,0
4219,Less than 25,F,Other,Male,0,0
4220,Less than 25,M,African-American,Female,0,1
4221,25 - 45,M,African-American,Male,0,0
4222,25 - 45,M,African-American,Female,0,0
4223,Greater than 45,F,Caucasian,Male,4,1
4224,25 - 45,F,Hispanic,Male,9,0
4225,25 - 45,F,African-American,Male,7,1
4226,25 - 45,F,Hispanic,Female,1,0
4227,Less than 25,M,Caucasian,Female,0,0
4228,25 - 45,F,Caucasian,Male,12,0
4229,25 - 45,M,African-American,Male,2,0
4230,25 - 45,M,African-American,Male,0,0
4231,25 - 45,F,African-American,Female,8,0
4232,25 - 45,F,Caucasian,Female,0,1
4233,25 - 45,M,Caucasian,Female,0,1
4234,25 - 45,M,African-American,Male,8,1
4235,25 - 45,M,Caucasian,Female,1,0
4236,25 - 45,F,Caucasian,Male,3,0
4237,25 - 45,F,Caucasian,Male,5,1
4238,Greater than 45,F,Other,Male,0,1
4239,25 - 45,F,Caucasian,Male,1,0
4240,25 - 45,F,Caucasian,Male,3,0
4241,Less than 25,F,Caucasian,Male,1,0
4242,Greater than 45,M,Caucasian,Male,13,1
4243,25 - 45,F,African-American,Female,4,0
4244,25 - 45,F,African-American,Female,6,1
4245,25 - 45,F,Caucasian,Male,1,0
4246,25 - 45,F,African-American,Male,2,0
4247,Less than 25,F,African-American,Male,1,0
4248,25 - 45,M,Asian,Male,0,0
4249,Greater than 45,M,Hispanic,Male,1,0
4250,25 - 45,M,African-American,Male,23,1
4251,25 - 45,M,Caucasian,Male,3,0
4252,25 - 45,F,African-American,Male,7,0
4253,25 - 45,F,Caucasian,Male,7,1
4254,Less than 25,F,Caucasian,Male,1,0
4255,Greater than 45,M,Caucasian,Female,0,0
4256,25 - 45,M,Caucasian,Male,5,1
4257,25 - 45,M,Hispanic,Female,0,0
4258,25 - 45,M,African-American,Male,1,0
4259,25 - 45,F,Caucasian,Female,3,1
4260,Less than 25,M,Caucasian,Male,2,0
4261,Greater than 45,F,Asian,Male,0,0
4262,25 - 45,M,Caucasian,Female,0,0
4263,25 - 45,F,Caucasian,Female,0,1
4264,25 - 45,F,Caucasian,Female,1,0
4265,25 - 45,F,African-American,Male,0,0
4266,25 - 45,F,Hispanic,Male,1,0
4267,Less than 25,F,African-American,Male,2,1
4268,25 - 45,M,Caucasian,Female,9,1
4269,25 - 45,M,African-American,Female,5,0
4270,Greater than 45,F,African-American,Female,3,0
4271,Less than 25,F,Hispanic,Male,1,0
4272,Less than 25,F,Hispanic,Female,1,0
4273,25 - 45,F,Hispanic,Male,3,0
4274,25 - 45,F,African-American,Male,0,1
4275,25 - 45,M,African-American,Female,0,0
4276,25 - 45,F,Caucasian,Male,0,0
4277,25 - 45,M,African-American,Male,2,0
4278,25 - 45,F,Other,Female,0,0
4279,Less than 25,F,African-American,Male,10,1
4280,25 - 45,F,Hispanic,Male,5,0
4281,Greater than 45,F,Caucasian,Male,1,0
4282,Less than 25,F,African-American,Male,1,1
4283,Greater than 45,M,Hispanic,Male,0,0
4284,Less than 25,F,African-American,Male,2,1
4285,25 - 45,M,African-American,Male,3,0
4286,25 - 45,M,Caucasian,Female,0,0
4287,Greater than 45,F,Caucasian,Male,1,0
4288,25 - 45,F,Hispanic,Male,19,1
4289,Less than 25,M,Other,Male,0,0
4290,Greater than 45,M,Other,Male,1,1
4291,25 - 45,F,African-American,Male,4,0
4292,Greater than 45,F,Caucasian,Male,12,1
4293,25 - 45,M,Other,Male,1,0
4294,25 - 45,M,Caucasian,Male,0,0
4295,Less than 25,F,African-American,Male,2,0
4296,25 - 45,M,African-American,Male,0,0
4297,25 - 45,F,Hispanic,Male,5,1
4298,25 - 45,F,Hispanic,Female,0,0
4299,Greater than 45,F,Caucasian,Female,0,0
4300,25 - 45,M,Hispanic,Female,1,0
4301,Less than 25,F,Caucasian,Male,6,0
4302,Greater than 45,M,African-American,Male,0,0
4303,Less than 25,F,African-American,Male,0,1
4304,25 - 45,F,African-American,Male,7,0
4305,Greater than 45,F,Caucasian,Female,3,0
4306,Less than 25,F,African-American,Male,0,0
4307,25 - 45,F,African-American,Male,0,1
4308,Less than 25,M,African-American,Male,2,1
4309,25 - 45,M,Caucasian,Male,0,0
4310,Less than 25,F,African-American,Male,1,1
4311,25 - 45,F,Caucasian,Male,1,0
4312,25 - 45,F,African-American,Male,0,0
4313,25 - 45,M,African-American,Male,0,0
4314,25 - 45,F,African-American,Male,0,0
4315,Less than 25,M,Other,Male,0,0
4316,Greater than 45,M,Caucasian,Male,0,0
4317,Less than 25,F,Caucasian,Male,1,1
4318,25 - 45,M,African-American,Male,5,0
4319,Greater than 45,M,Caucasian,Male,0,0
4320,25 - 45,F,African-American,Female,7,1
4321,Greater than 45,F,Caucasian,Male,0,0
4322,25 - 45,F,African-American,Male,0,0
4323,Less than 25,M,African-American,Male,2,1
4324,25 - 45,F,Hispanic,Male,1,1
4325,25 - 45,F,Caucasian,Male,4,1
4326,25 - 45,M,African-American,Male,0,0
4327,Greater than 45,M,African-American,Female,0,0
4328,25 - 45,M,African-American,Female,1,0
4329,Greater than 45,F,Other,Male,0,0
4330,Less than 25,F,Caucasian,Male,1,1
4331,25 - 45,F,African-American,Male,0,0
4332,Less than 25,F,African-American,Male,0,0
4333,25 - 45,M,Other,Male,0,0
4334,25 - 45,M,African-American,Female,3,0
4335,Greater than 45,M,Caucasian,Male,0,0
4336,25 - 45,F,Other,Male,7,1
4337,25 - 45,F,African-American,Male,2,1
4338,25 - 45,M,Caucasian,Male,0,0
4339,25 - 45,M,African-American,Male,17,1
4340,Greater than 45,M,Hispanic,Male,1,0
4341,25 - 45,F,African-American,Male,2,0
4342,25 - 45,M,African-American,Female,1,1
4343,Less than 25,F,African-American,Male,2,0
4344,25 - 45,F,Caucasian,Female,0,0
4345,Greater than 45,M,Caucasian,Female,0,0
4346,25 - 45,M,Hispanic,Male,0,0
4347,Less than 25,F,African-American,Male,1,0
4348,Less than 25,M,African-American,Male,1,1
4349,25 - 45,F,Caucasian,Male,9,1
4350,Greater than 45,F,Caucasian,Male,7,0
4351,Less than 25,F,African-American,Male,1,0
4352,Greater than 45,F,African-American,Male,1,0
4353,25 - 45,F,Caucasian,Female,0,1
4354,Less than 25,F,African-American,Male,0,1
4355,Less than 25,F,African-American,Male,0,0
4356,25 - 45,M,Caucasian,Female,1,0
4357,Greater than 45,F,Other,Male,0,0
4358,25 - 45,F,African-American,Male,1,0
4359,Greater than 45,M,Caucasian,Male,1,0
4360,Greater than 45,F,Caucasian,Male,1,0
4361,Less than 25,F,Hispanic,Male,2,1
4362,25 - 45,M,African-American,Male,5,0
4363,25 - 45,F,African-American,Male,5,1
4364,Greater than 45,M,Caucasian,Male,1,0
4365,25 - 45,M,African-American,Male,2,0
4366,Less than 25,F,Hispanic,Male,0,0
4367,25 - 45,M,African-American,Male,0,0
4368,Less than 25,F,Other,Male,1,0
4369,25 - 45,F,African-American,Female,1,0
4370,Less than 25,F,African-American,Male,0,0
4371,25 - 45,F,African-American,Male,3,0
4372,25 - 45,M,Caucasian,Male,0,0
4373,Greater than 45,F,Caucasian,Male,0,0
4374,25 - 45,F,Caucasian,Male,5,1
4375,Less than 25,F,African-American,Male,1,1
4376,Greater than 45,F,Caucasian,Male,0,0
4377,25 - 45,M,Caucasian,Male,1,0
4378,25 - 45,M,Hispanic,Female,0,0
4379,25 - 45,M,African-American,Male,0,0
4380,Less than 25,M,Hispanic,Female,0,1
4381,Greater than 45,F,African-American,Male,9,1
4382,Less than 25,F,Caucasian,Male,8,1
4383,25 - 45,M,Caucasian,Male,2,0
4384,25 - 45,M,Caucasian,Female,0,0
4385,25 - 45,F,African-American,Male,7,1
4386,Greater than 45,F,Caucasian,Male,5,0
4387,25 - 45,F,African-American,Male,1,0
4388,25 - 45,F,Hispanic,Female,0,0
4389,25 - 45,M,African-American,Female,1,1
4390,Less than 25,F,Caucasian,Male,10,0
4391,Less than 25,F,Hispanic,Male,0,1
4392,25 - 45,F,Caucasian,Male,2,1
4393,Less than 25,F,Other,Male,0,0
4394,25 - 45,F,Caucasian,Male,2,0
4395,25 - 45,M,Caucasian,Male,2,0
4396,25 - 45,F,Other,Male,0,1
4397,Greater than 45,F,Caucasian,Male,1,1
4398,Less than 25,F,African-American,Male,1,0
4399,Less than 25,F,African-American,Male,3,1
4400,25 - 45,F,African-American,Male,5,0
4401,Less than 25,F,African-American,Male,6,1
4402,Less than 25,M,African-American,Male,1,1
4403,Greater than 45,F,Caucasian,Male,7,1
4404,Greater than 45,M,Hispanic,Male,2,0
4405,25 - 45,F,African-American,Male,11,1
4406,Less than 25,F,African-American,Male,1,0
4407,Greater than 45,M,Caucasian,Male,1,1
4408,25 - 45,M,African-American,Male,2,0
4409,25 - 45,M,Other,Male,0,0
4410,25 - 45,F,African-American,Male,2,0
4411,Less than 25,M,Other,Male,0,0
4412,25 - 45,F,Caucasian,Female,0,0
4413,25 - 45,F,African-American,Male,5,0
4414,Less than 25,F,Caucasian,Male,0,0
4415,25 - 45,F,African-American,Male,0,1
4416,Less than 25,M,African-American,Male,1,1
4417,Less than 25,M,African-American,Female,0,0
4418,25 - 45,F,Other,Male,0,1
4419,25 - 45,F,Caucasian,Male,0,0
4420,Less than 25,F,Caucasian,Male,2,1
4421,Less than 25,F,Caucasian,Male,1,1
4422,Less than 25,F,Caucasian,Male,5,1
4423,25 - 45,F,African-American,Male,22,1
4424,Greater than 45,F,Caucasian,Male,2,1
4425,25 - 45,M,African-American,Male,5,0
4426,25 - 45,M,African-American,Male,12,1
4427,25 - 45,F,African-American,Male,0,0
4428,Less than 25,F,African-American,Male,0,0
4429,25 - 45,F,African-American,Male,0,0
4430,25 - 45,F,Other,Male,2,1
4431,Greater than 45,F,Caucasian,Male,1,0
4432,Less than 25,F,African-American,Male,0,0
4433,Less than 25,F,Caucasian,Male,1,0
4434,25 - 45,F,Caucasian,Male,1,1
4435,25 - 45,M,African-American,Female,3,1
4436,Less than 25,F,African-American,Male,3,0
4437,Greater than 45,M,Hispanic,Female,0,1
4438,25 - 45,F,African-American,Female,11,1
4439,25 - 45,M,Caucasian,Female,0,0
4440,25 - 45,M,African-American,Male,9,0
4441,Less than 25,F,Hispanic,Male,4,1
4442,Greater than 45,F,Caucasian,Male,6,0
4443,25 - 45,M,African-American,Female,1,0
4444,25 - 45,M,African-American,Male,1,0
4445,25 - 45,F,African-American,Male,2,1
4446,Less than 25,F,Hispanic,Male,4,1
4447,Greater than 45,F,Caucasian,Male,6,0
4448,Less than 25,F,African-American,Male,0,0
4449,Less than 25,M,Caucasian,Male,0,0
4450,Greater than 45,M,Caucasian,Male,0,0
4451,25 - 45,M,African-American,Male,7,0
4452,25 - 45,M,Caucasian,Male,0,0
4453,Less than 25,F,Caucasian,Male,3,1
4454,25 - 45,F,Caucasian,Male,0,0
4455,25 - 45,F,Caucasian,Male,2,1
4456,25 - 45,F,Caucasian,Male,1,0
4457,Less than 25,M,African-American,Male,0,0
4458,Less than 25,M,Caucasian,Female,0,0
4459,25 - 45,F,Caucasian,Male,3,0
4460,25 - 45,F,Caucasian,Male,3,1
4461,Greater than 45,F,Caucasian,Male,1,0
4462,25 - 45,F,African-American,Female,0,0
4463,Less than 25,F,African-American,Male,1,1
4464,25 - 45,F,Caucasian,Male,2,0
4465,25 - 45,F,Caucasian,Male,0,0
4466,25 - 45,F,Caucasian,Male,3,0
4467,25 - 45,M,African-American,Male,2,0
4468,Greater than 45,M,Caucasian,Female,0,0
4469,25 - 45,F,African-American,Male,1,1
4470,Greater than 45,F,African-American,Male,25,0
4471,25 - 45,M,Other,Male,0,0
4472,25 - 45,F,Caucasian,Male,4,0
4473,25 - 45,F,African-American,Male,3,0
4474,25 - 45,F,Caucasian,Male,15,1
4475,25 - 45,F,African-American,Male,0,0
4476,Greater than 45,M,Caucasian,Male,0,0
4477,Greater than 45,F,Caucasian,Female,4,0
4478,25 - 45,F,African-American,Male,3,1
4479,25 - 45,F,African-American,Male,1,0
4480,Greater than 45,F,Hispanic,Male,0,0
4481,25 - 45,F,African-American,Female,0,0
4482,25 - 45,M,Caucasian,Female,0,0
4483,25 - 45,F,Caucasian,Male,1,1
4484,25 - 45,M,African-American,Female,0,0
4485,25 - 45,M,African-American,Male,3,0
4486,Less than 25,F,Caucasian,Male,4,1
4487,25 - 45,F,African-American,Male,0,0
4488,Greater than 45,M,Caucasian,Male,0,0
4489,25 - 45,M,African-American,Female,0,0
4490,25 - 45,M,Caucasian,Female,0,0
4491,25 - 45,M,Caucasian,Female,4,0
4492,Less than 25,F,African-American,Female,0,0
4493,25 - 45,F,Caucasian,Male,5,1
4494,25 - 45,F,Caucasian,Male,0,0
4495,Greater than 45,F,African-American,Male,3,0
4496,Less than 25,F,African-American,Male,8,1
4497,25 - 45,F,African-American,Male,4,0
4498,25 - 45,F,African-American,Male,10,1
4499,25 - 45,F,Hispanic,Male,2,0
4500,Greater than 45,M,African-American,Male,2,0
4501,25 - 45,M,Hispanic,Male,3,0
4502,25 - 45,M,African-American,Male,0,0
4503,Greater than 45,F,African-American,Male,22,1
4504,Greater than 45,F,Caucasian,Female,3,1
4505,Greater than 45,F,Other,Male,0,0
4506,25 - 45,F,African-American,Male,10,1
4507,Greater than 45,M,African-American,Male,1,0
4508,Less than 25,F,African-American,Male,1,1
4509,Less than 25,M,Caucasian,Male,4,1
4510,Greater than 45,F,Hispanic,Male,3,1
4511,25 - 45,M,Caucasian,Male,3,1
4512,Less than 25,F,African-American,Male,1,1
4513,25 - 45,F,Hispanic,Female,0,0
4514,Less than 25,F,African-American,Male,0,0
4515,Greater than 45,F,African-American,Male,8,1
4516,25 - 45,F,African-American,Male,5,0
4517,25 - 45,F,Caucasian,Male,1,0
4518,25 - 45,M,African-American,Female,0,1
4519,25 - 45,F,Caucasian,Male,1,1
4520,25 - 45,M,African-American,Male,8,0
4521,Greater than 45,F,African-American,Male,5,1
4522,25 - 45,M,African-American,Female,0,0
4523,Less than 25,F,Caucasian,Male,2,0
4524,25 - 45,F,Caucasian,Male,4,0
4525,Greater than 45,F,African-American,Male,21,0
4526,Less than 25,F,Caucasian,Male,4,0
4527,Less than 25,M,Caucasian,Male,0,0
4528,25 - 45,M,African-American,Male,6,0
4529,Greater than 45,M,African-American,Male,15,0
4530,Greater than 45,M,Other,Female,0,0
4531,25 - 45,M,African-American,Male,1,0
4532,Greater than 45,F,African-American,Male,10,1
4533,Less than 25,F,African-American,Male,2,0
4534,25 - 45,F,African-American,Female,5,1
4535,25 - 45,F,Other,Male,0,0
4536,Greater than 45,F,Hispanic,Male,0,0
4537,25 - 45,F,Caucasian,Female,2,1
4538,25 - 45,F,Caucasian,Male,5,0
4539,25 - 45,M,Caucasian,Male,2,0
4540,Greater than 45,F,Other,Male,8,1
4541,25 - 45,F,Caucasian,Male,1,0
4542,Greater than 45,F,Caucasian,Male,0,0
4543,Greater than 45,M,Caucasian,Male,1,0
4544,25 - 45,F,Caucasian,Male,4,0
4545,25 - 45,F,Other,Male,0,1
4546,Less than 25,M,African-American,Male,3,1
4547,25 - 45,M,Hispanic,Male,3,1
4548,Less than 25,M,Caucasian,Male,1,0
4549,25 - 45,F,African-American,Male,18,1
4550,25 - 45,F,African-American,Female,7,1
4551,25 - 45,F,African-American,Male,20,0
4552,25 - 45,M,African-American,Female,1,0
4553,25 - 45,F,African-American,Male,16,1
4554,25 - 45,M,Caucasian,Male,1,1
4555,Greater than 45,F,Caucasian,Male,7,0
4556,25 - 45,F,African-American,Male,1,0
4557,25 - 45,F,African-American,Male,2,0
4558,Greater than 45,F,Caucasian,Female,0,0
4559,Greater than 45,M,Caucasian,Male,7,0
4560,Less than 25,F,Hispanic,Male,2,1
4561,25 - 45,M,African-American,Female,0,0
4562,Less than 25,F,Caucasian,Male,3,0
4563,Less than 25,F,Hispanic,Male,2,0
4564,25 - 45,F,African-American,Male,2,1
4565,Less than 25,F,African-American,Male,0,0
4566,25 - 45,F,African-American,Male,1,1
4567,25 - 45,F,Caucasian,Female,0,0
4568,Greater than 45,M,Caucasian,Male,0,0
4569,Less than 25,F,African-American,Female,0,0
4570,25 - 45,F,African-American,Male,4,1
4571,25 - 45,M,African-American,Male,12,1
4572,Less than 25,M,Other,Male,0,0
4573,25 - 45,M,Hispanic,Male,0,0
4574,25 - 45,M,Hispanic,Male,1,0
4575,Greater than 45,M,Caucasian,Male,1,1
4576,Less than 25,M,Caucasian,Male,0,0
4577,Greater than 45,F,African-American,Female,2,0
4578,Less than 25,F,African-American,Male,0,1
4579,25 - 45,F,African-American,Male,14,0
4580,25 - 45,F,African-American,Male,1,0
4581,25 - 45,F,African-American,Female,3,0
4582,25 - 45,M,Caucasian,Female,1,0
4583,Less than 25,F,African-American,Male,0,1
4584,Less than 25,M,Caucasian,Male,0,1
4585,Less than 25,M,Caucasian,Male,1,0
4586,25 - 45,M,African-American,Male,7,0
4587,25 - 45,F,African-American,Male,0,0
4588,25 - 45,F,Caucasian,Male,0,0
4589,25 - 45,F,African-American,Male,1,0
4590,25 - 45,F,African-American,Male,22,1
4591,Greater than 45,M,Hispanic,Male,0,0
4592,Less than 25,M,African-American,Male,0,1
4593,25 - 45,F,Hispanic,Male,0,0
4594,25 - 45,F,African-American,Male,2,0
4595,25 - 45,F,African-American,Male,1,0
4596,25 - 45,F,African-American,Male,7,0
4597,Greater than 45,F,Caucasian,Female,2,0
4598,25 - 45,M,Caucasian,Female,0,0
4599,25 - 45,F,African-American,Male,2,1
4600,25 - 45,M,Caucasian,Male,1,0
4601,25 - 45,M,African-American,Male,2,0
4602,25 - 45,F,African-American,Male,6,1
4603,Greater than 45,M,Hispanic,Male,0,0
4604,25 - 45,F,Hispanic,Male,5,1
4605,Greater than 45,F,African-American,Male,29,1
4606,25 - 45,M,African-American,Female,23,1
4607,25 - 45,M,Hispanic,Male,0,0
4608,Less than 25,F,African-American,Male,2,1
4609,Greater than 45,F,African-American,Male,5,0
4610,25 - 45,M,Caucasian,Male,0,0
4611,Greater than 45,F,Caucasian,Female,6,0
4612,Greater than 45,F,African-American,Male,16,1
4613,25 - 45,F,Hispanic,Male,1,1
4614,Greater than 45,M,Caucasian,Male,2,0
4615,25 - 45,M,Caucasian,Male,0,0
4616,25 - 45,F,Hispanic,Male,1,0
4617,25 - 45,M,African-American,Female,2,0
4618,25 - 45,F,Caucasian,Male,3,1
4619,Less than 25,F,Caucasian,Male,1,0
4620,Less than 25,F,Caucasian,Male,1,1
4621,25 - 45,F,African-American,Female,0,0
4622,25 - 45,M,Caucasian,Male,0,0
4623,25 - 45,F,African-American,Male,9,0
4624,Greater than 45,F,Other,Female,1,0
4625,Greater than 45,M,Other,Male,3,0
4626,25 - 45,M,African-American,Male,5,0
4627,Less than 25,F,African-American,Female,0,0
4628,Greater than 45,F,Caucasian,Male,0,0
4629,Greater than 45,M,African-American,Male,2,0
4630,Less than 25,F,African-American,Male,2,1
4631,25 - 45,F,Caucasian,Male,1,0
4632,Greater than 45,F,Caucasian,Female,0,0
4633,Less than 25,M,Caucasian,Male,0,0
4634,25 - 45,F,Caucasian,Male,10,1
4635,25 - 45,F,Hispanic,Female,9,1
4636,25 - 45,F,African-American,Female,5,1
4637,25 - 45,F,Caucasian,Female,3,1
4638,Less than 25,F,Caucasian,Female,0,0
4639,25 - 45,M,Hispanic,Female,8,1
4640,25 - 45,M,Caucasian,Male,1,1
4641,Greater than 45,F,Caucasian,Male,9,1
4642,25 - 45,F,Caucasian,Male,2,0
4643,Greater than 45,F,Caucasian,Male,0,0
4644,25 - 45,M,African-American,Male,0,0
4645,25 - 45,F,Other,Male,2,1
4646,25 - 45,F,African-American,Male,6,1
4647,Less than 25,F,African-American,Female,2,1
4648,Less than 25,F,African-American,Female,7,0
4649,25 - 45,M,Caucasian,Male,0,0
4650,Less than 25,M,Caucasian,Female,1,0
4651,Greater than 45,F,Caucasian,Male,1,0
4652,25 - 45,F,Hispanic,Male,7,0
4653,Less than 25,F,Hispanic,Male,2,0
4654,25 - 45,F,Caucasian,Female,0,0
4655,25 - 45,F,African-American,Male,13,1
4656,Greater than 45,F,Caucasian,Male,2,0
4657,25 - 45,F,Caucasian,Male,0,0
4658,Less than 25,M,African-American,Male,0,0
4659,25 - 45,M,African-American,Female,9,1
4660,Greater than 45,F,Caucasian,Male,3,0
4661,25 - 45,F,Hispanic,Male,3,0
4662,Less than 25,F,Caucasian,Male,1,0
4663,Greater than 45,F,African-American,Male,3,1
4664,25 - 45,F,African-American,Male,6,1
4665,25 - 45,M,African-American,Male,6,0
4666,25 - 45,M,African-American,Male,0,0
4667,Greater than 45,M,Caucasian,Male,3,0
4668,25 - 45,M,African-American,Female,1,0
4669,Less than 25,F,African-American,Male,0,0
4670,Less than 25,F,Caucasian,Male,1,1
4671,25 - 45,M,African-American,Female,0,0
4672,25 - 45,F,African-American,Male,2,0
4673,Less than 25,F,Caucasian,Male,0,0
4674,Greater than 45,F,African-American,Male,4,0
4675,25 - 45,F,African-American,Male,2,0
4676,25 - 45,F,African-American,Male,0,0
4677,Less than 25,F,African-American,Male,5,1
4678,Less than 25,F,African-American,Male,0,0
4679,25 - 45,M,African-American,Male,2,0
4680,25 - 45,M,African-American,Female,0,0
4681,25 - 45,F,African-American,Male,2,0
4682,25 - 45,F,Hispanic,Male,0,0
4683,25 - 45,M,Caucasian,Male,1,0
4684,Less than 25,F,African-American,Male,1,1
4685,25 - 45,F,Other,Male,1,0
4686,25 - 45,F,African-American,Female,0,1
4687,Less than 25,F,African-American,Male,0,0
4688,Less than 25,M,Caucasian,Female,7,0
4689,25 - 45,F,Other,Female,6,1
4690,Less than 25,F,African-American,Female,1,0
4691,25 - 45,F,African-American,Male,2,1
4692,25 - 45,M,Caucasian,Male,0,0
4693,Less than 25,F,African-American,Male,8,1
4694,Greater than 45,M,Caucasian,Female,0,0
4695,Less than 25,F,Caucasian,Male,1,1
4696,Less than 25,M,African-American,Male,0,0
4697,Greater than 45,F,African-American,Female,0,0
4698,Greater than 45,M,Other,Male,0,0
4699,25 - 45,F,African-American,Female,0,1
4700,25 - 45,M,Caucasian,Male,0,0
4701,Less than 25,M,African-American,Female,1,0
4702,Less than 25,F,African-American,Male,0,1
4703,Less than 25,F,Caucasian,Male,0,0
4704,25 - 45,M,African-American,Male,3,0
4705,Less than 25,F,African-American,Male,1,1
4706,25 - 45,F,African-American,Male,1,0
4707,Less than 25,M,African-American,Male,2,1
4708,Less than 25,M,Hispanic,Male,0,0
4709,25 - 45,F,African-American,Male,4,1
4710,25 - 45,F,African-American,Male,11,1
4711,Less than 25,F,African-American,Male,0,0
4712,25 - 45,M,Other,Male,1,0
4713,25 - 45,F,African-American,Male,3,1
4714,25 - 45,F,African-American,Male,6,1
4715,25 - 45,M,African-American,Male,4,1
4716,25 - 45,F,Caucasian,Male,6,1
4717,Greater than 45,F,Caucasian,Male,0,0
4718,25 - 45,M,Caucasian,Male,0,0
4719,25 - 45,M,African-American,Male,4,0
4720,Less than 25,F,African-American,Male,3,1
4721,Greater than 45,M,Caucasian,Male,0,1
4722,25 - 45,F,African-American,Male,0,1
4723,25 - 45,F,African-American,Male,0,0
4724,Less than 25,F,Caucasian,Male,6,1
4725,25 - 45,M,African-American,Male,11,0
4726,25 - 45,M,African-American,Male,2,0
4727,Greater than 45,M,Caucasian,Male,0,0
4728,25 - 45,F,African-American,Male,7,1
4729,Less than 25,F,African-American,Female,0,1
4730,Greater than 45,M,African-American,Male,2,0
4731,25 - 45,F,African-American,Male,2,1
4732,Greater than 45,M,Caucasian,Male,27,0
4733,Greater than 45,M,Other,Male,2,1
4734,25 - 45,M,Caucasian,Male,1,0
4735,25 - 45,F,African-American,Male,0,0
4736,Greater than 45,F,Other,Male,0,0
4737,25 - 45,F,African-American,Male,8,0
4738,25 - 45,F,African-American,Female,5,1
4739,25 - 45,F,African-American,Female,2,1
4740,25 - 45,F,African-American,Male,2,1
4741,25 - 45,M,African-American,Male,2,0
4742,25 - 45,M,Caucasian,Male,6,1
4743,Greater than 45,F,African-American,Male,20,0
4744,Greater than 45,M,Hispanic,Male,1,0
4745,25 - 45,F,Caucasian,Male,0,0
4746,Greater than 45,F,Caucasian,Male,0,0
4747,Greater than 45,F,Caucasian,Male,0,0
4748,25 - 45,M,African-American,Male,2,0
4749,Greater than 45,F,African-American,Female,3,0
4750,Greater than 45,F,African-American,Male,0,0
4751,25 - 45,M,Caucasian,Female,0,0
